"id_client","service_sauvegarde","service_antivirus","service_assurance","service_streaming_film","service_streaming_tv","service_support"
"NAOES08569","No","No","Yes","No","Yes","No"
"FGDCR05621","Yes","Yes","No","No","Yes","Yes"
"VWCNI22776","No","No","No","No","No","No"
"MGVPY91358","Yes","Yes","Yes","Yes","Yes","Yes"
"SLMEF38151","No","Yes","No","No","No","Yes"
"CXYIX45132","No","Yes","No","No","No","No"
"SYEUS66335","Yes","No","Yes","No","No","Yes"
"GYWLO93329","No","No","No","No","Yes","No"
"HDUEG32764","No","No","No","No","No","No"
"YPYBV89997","Yes","Yes","Yes","Yes","Yes","Yes"
"VVDMG15221","Yes","No","No","No","Yes","Yes"
"SOMKO08489","No","Yes","Yes","Yes","No","Yes"
"EFPNL69236","No","No","No","No","No","No"
"FQSTQ21672","Yes","Yes","Yes","Yes","Yes","Yes"
"BHDQG92866","Yes","Yes","Yes","No","No","Yes"
"CBZPL72253","No","No","No","Yes","Yes","No"
"IYGFG56051","No","No","No","No","No","No"
"YXDAD75711","No","No","No","No","No","No"
"FNMCI02549","Yes","Yes","Yes","Yes","Yes","Yes"
"FJGLA89818","No","No","Yes","No","No","No"
"MYSHR84144","No","No","No","Yes","Yes","No"
"CNFMO92743","No","No","No","No","No","No"
"NFNCH37949","No","No","Yes","No","No","No"
"DDVRV11001","Yes","No","No","Yes","Yes","No"
"BNTHX95224","Yes","No","Yes","Yes","Yes","No"
"IYRBF36777","No","No","Yes","No","No","No"
"ZNGGW82502","Yes","Yes","No","No","No","Yes"
"RQHXR75944","No","No","No","Yes","No","No"
"NXZCP72356","No","No","No","No","No","No"
"OAHPZ01226","No","No","No","No","No","No"
"ZXFOE83311","Yes","Yes","Yes","No","No","Yes"
"UPRHR89015","Yes","No","Yes","Yes","Yes","Yes"
"SVYLG35633","Yes","Yes","Yes","No","No","Yes"
"MXZRA32059","No","No","No","No","Yes","Yes"
"AKEMH53923","No","No","No","No","No","No"
"AAXCB82016","No","No","No","No","Yes","No"
"ELBGL69196","Yes","Yes","Yes","Yes","Yes","Yes"
"IJVDB05309","Yes","Yes","Yes","Yes","Yes","Yes"
"LHVLY50476","No","No","Yes","No","No","No"
"FYDIB84045","Yes","Yes","No","No","No","No"
"TAILE34154","No","No","No","Yes","Yes","No"
"QVYJO67626","No","Yes","Yes","Yes","Yes","Yes"
"NUHWD50466","No","Yes","Yes","Yes","No","No"
"GHRQR01061","Yes","No","Yes","Yes","No","No"
"XGEJJ83746","Yes","No","No","Yes","Yes","No"
"KZAAT25462","Yes","Yes","No","Yes","Yes","No"
"NMZYQ75699","Yes","Yes","Yes","Yes","Yes","Yes"
"NTNFO37142","No","No","No","Yes","No","No"
"DWKTI87051","No","No","Yes","Yes","No","No"
"CIPQE25992","Yes","Yes","Yes","Yes","Yes","Yes"
"GFPMB51368","No","No","Yes","Yes","No","No"
"YHMGA64763","Yes","No","Yes","Yes","Yes","Yes"
"MJDSB30557","No","No","No","No","No","No"
"GMHUV75161","No","Yes","Yes","Yes","Yes","No"
"NFXKV59403","No","No","No","Yes","No","No"
"YASZG35978","Yes","No","No","Yes","Yes","Yes"
"WOVKF37867","Yes","Yes","No","Yes","Yes","No"
"MLNTI28062","Yes","No","Yes","Yes","Yes","No"
"DDIHE07992","No","No","No","No","No","No"
"PJHDQ99263","No","No","Yes","Yes","Yes","No"
"GDDSO03342","Yes","No","No","No","No","No"
"KFUOG23713","Yes","Yes","No","Yes","Yes","No"
"VLQVU58867","No","No","No","Yes","No","Yes"
"ORPIK31943","No","No","No","No","Yes","No"
"KSUGX78606","Yes","Yes","Yes","No","No","No"
"MXLSX29259","Yes","No","Yes","No","Yes","No"
"FILNV29331","No","No","No","No","No","No"
"XKCBS77586","No","No","No","No","No","Yes"
"DNKIV20273","No","Yes","Yes","No","No","Yes"
"ERMAN47515","Yes","No","Yes","Yes","Yes","No"
"SKFGK79296","Yes","Yes","Yes","Yes","Yes","Yes"
"IBERQ50167","Yes","No","Yes","No","No","No"
"ZMYXQ54059","No","No","No","No","No","No"
"TZDMQ78418","No","No","No","No","No","No"
"CLVZW97541","Yes","Yes","No","No","No","Yes"
"QEICA32985","No","Yes","No","No","No","Yes"
"LOJKX94206","Yes","Yes","No","Yes","Yes","No"
"JSQEW33917","Yes","No","No","No","No","No"
"KYYPY49399","No","No","Yes","No","No","Yes"
"YAGIY64806","Yes","Yes","Yes","Yes","Yes","Yes"
"IVZHA03303","No","No","No","No","No","No"
"TTRXI12609","No","No","No","Yes","No","No"
"JLGJT89639","No","Yes","Yes","No","No","No"
"LJADA61225","Yes","Yes","Yes","Yes","Yes","Yes"
"YGLWG87102","No","No","No","No","No","No"
"HHXJR64632","Yes","Yes","Yes","No","Yes","No"
"SYUHJ95766","No","Yes","No","No","Yes","No"
"LBQVU92896","Yes","No","No","Yes","No","Yes"
"QPJED22071","No","No","Yes","No","Yes","Yes"
"YNRIO69906","No","Yes","Yes","Yes","Yes","Yes"
"WMEMG04896","No","No","No","No","No","Yes"
"UXTKY21896","No","Yes","No","Yes","Yes","Yes"
"MXJLL71057","No","No","Yes","Yes","No","No"
"VBDCG71331","Yes","Yes","No","No","No","No"
"QRGTX99334","No","Yes","No","Yes","Yes","Yes"
"ELRKD63564","No","Yes","No","Yes","Yes","No"
"IIQOF21945","Yes","Yes","Yes","Yes","Yes","Yes"
"GBATB80638","No","No","No","Yes","No","No"
"CTWIH96113","No","No","No","Yes","Yes","No"
"DPYUH35715","Yes","No","No","No","Yes","Yes"
"QJGJD85196","No","No","Yes","No","No","No"
"NEQVZ58464","No","Yes","Yes","Yes","No","Yes"
"KOUQO60222","No","No","No","No","No","Yes"
"TVUQF48843","No","Yes","Yes","Yes","No","Yes"
"GTPCA64393","No","No","Yes","No","No","Yes"
"CAWEX37956","Yes","Yes","Yes","Yes","Yes","Yes"
"DPRQE78214","Yes","Yes","No","Yes","Yes","Yes"
"CLMLV49834","Yes","No","No","Yes","Yes","Yes"
"DAMQP23802","Yes","Yes","Yes","Yes","Yes","Yes"
"BFESC75341","No","No","No","No","No","No"
"FRVEC66958","No","Yes","Yes","No","No","Yes"
"HJRDX03616","Yes","Yes","Yes","Yes","Yes","Yes"
"ILWKJ65593","Yes","No","No","Yes","Yes","No"
"VFOXH98954","No","No","No","No","No","No"
"OSWTN44766","No","Yes","Yes","Yes","Yes","Yes"
"UPRYS29953","Yes","No","No","Yes","Yes","Yes"
"OLGAQ92089","No","No","Yes","Yes","No","No"
"MMETB41242","No","No","No","Yes","Yes","No"
"TLVRW88826","No","Yes","Yes","No","No","Yes"
"JIRMN29572","No","No","No","No","Yes","No"
"GBZSH02599","No","No","No","No","Yes","No"
"CTCUS71306","Yes","Yes","No","No","No","No"
"FFJDS82185","Yes","Yes","No","Yes","Yes","Yes"
"NFJTV82595","No","Yes","No","No","No","Yes"
"FIOIY79091","No","No","No","No","No","No"
"VLGQT33172","No","No","No","Yes","No","No"
"VOJQL27228","Yes","No","No","Yes","Yes","Yes"
"BJQGZ05849","Yes","Yes","Yes","No","Yes","Yes"
"VAILE67324","Yes","No","Yes","Yes","Yes","Yes"
"PEFPE83803","No","No","No","No","No","No"
"PWYJJ74028","No","No","No","Yes","No","Yes"
"FDVOU42501","Yes","Yes","No","No","No","No"
"CPXKI91285","No","No","Yes","Yes","Yes","No"
"WCSEP41831","Yes","No","No","No","No","Yes"
"SWRVG04042","No","No","No","No","No","No"
"HWPWX62272","No","No","No","No","No","No"
"VXWXM18992","Yes","No","Yes","Yes","Yes","No"
"JOVAH84501","No","Yes","No","No","No","No"
"VBOFE45508","Yes","No","Yes","Yes","Yes","No"
"CQJSU95465","No","No","Yes","No","Yes","No"
"KWMXN47896","No","Yes","Yes","Yes","Yes","Yes"
"AGAWH18554","No","No","Yes","Yes","Yes","No"
"YEXQJ90796","Yes","No","Yes","Yes","Yes","Yes"
"AMVUX35779","No","No","Yes","No","No","Yes"
"ESMLS23162","No","Yes","No","No","No","Yes"
"XSXUQ85501","Yes","No","Yes","Yes","No","No"
"DRCLG07237","No","No","No","No","No","No"
"OSJUV21765","Yes","Yes","No","No","No","Yes"
"ZZTFS81669","Yes","No","Yes","Yes","Yes","No"
"PECLO09291","No","No","Yes","Yes","No","No"
"QURRL56966","No","No","No","No","No","No"
"NZVGJ81247","No","No","No","Yes","Yes","Yes"
"MZLCC41307","Yes","No","No","No","No","No"
"SNOJF44896","No","Yes","Yes","No","Yes","Yes"
"HPEMB89841","Yes","Yes","Yes","Yes","Yes","Yes"
"PIVVU46154","No","No","Yes","Yes","No","Yes"
"TFHHJ87576","No","Yes","No","No","No","No"
"JANFB46039","No","No","No","No","No","No"
"HBFNN85659","Yes","Yes","Yes","Yes","No","Yes"
"WNBTY74224","Yes","No","Yes","Yes","No","No"
"WILCI53533","Yes","Yes","No","No","No","No"
"AADSA09887","Yes","Yes","Yes","Yes","No","Yes"
"RKSAP82705","No","No","No","No","No","No"
"BDFSG59549","No","No","Yes","Yes","Yes","Yes"
"JALQC57927","No","Yes","Yes","No","No","No"
"OUTMO22024","No","Yes","No","No","No","Yes"
"LIHRP90285","Yes","Yes","Yes","No","Yes","Yes"
"OCTMP40035","No","Yes","No","Yes","No","Yes"
"LHDJH87755","Yes","No","No","No","Yes","No"
"WBJVH08877","No","No","No","Yes","Yes","Yes"
"DQLGN88409","Yes","Yes","No","No","Yes","Yes"
"VONUO84132","Yes","No","No","Yes","Yes","No"
"PKKZE92813","No","No","No","Yes","Yes","No"
"YPSAH63399","No","No","Yes","No","No","No"
"EFHVG23248","Yes","No","Yes","Yes","Yes","No"
"ZBFQJ19181","Yes","No","Yes","No","No","No"
"GMKPR69686","Yes","No","Yes","No","No","No"
"ICYZQ30624","Yes","Yes","No","Yes","No","No"
"PPLPX60174","No","No","No","No","No","No"
"IOVQQ97059","Yes","No","No","Yes","Yes","No"
"CHQJB62882","No","Yes","Yes","Yes","No","Yes"
"TOTBP33159","No","No","No","No","No","No"
"FTHUR29374","No","Yes","No","Yes","No","No"
"HBMOS40623","Yes","No","Yes","Yes","Yes","No"
"WTMPL04098","Yes","Yes","Yes","Yes","Yes","No"
"EJLFL37664","No","Yes","Yes","Yes","Yes","Yes"
"ZFJSR03349","Yes","Yes","No","No","No","Yes"
"OIVSP65829","No","No","No","No","No","No"
"BOYNW86615","No","Yes","Yes","Yes","Yes","Yes"
"GAESD42571","No","No","No","Yes","Yes","No"
"CJSHH87855","Yes","No","No","Yes","Yes","No"
"CTCWN54693","Yes","Yes","No","Yes","Yes","No"
"VMUAV48901","Yes","Yes","Yes","No","No","Yes"
"SAIGS33659","Yes","No","No","No","Yes","No"
"CLJTI09462","No","No","Yes","Yes","Yes","No"
"HIHMQ39207","No","No","No","No","No","No"
"UVGNB53073","Yes","Yes","Yes","Yes","No","No"
"NXBGR07421","Yes","No","Yes","No","No","No"
"QEWPT59162","No","No","Yes","Yes","Yes","No"
"WNSOD92512","Yes","Yes","Yes","Yes","No","No"
"FBXOJ65767","No","No","Yes","Yes","Yes","Yes"
"XWWTZ25017","No","No","No","No","No","No"
"NIIWQ72456","No","No","No","No","No","No"
"HOOPW65674","No","No","No","No","Yes","No"
"EVXNY45504","No","No","No","No","No","No"
"UDQJM64379","Yes","Yes","Yes","Yes","Yes","No"
"RBCSG02975","Yes","No","No","Yes","No","Yes"
"NWIFK08539","Yes","Yes","No","Yes","Yes","No"
"OITSN48536","No","Yes","No","Yes","No","No"
"DAFVY61289","No","No","No","Yes","Yes","No"
"BVMVG11974","No","No","No","No","No","No"
"DQAKK75089","Yes","Yes","Yes","Yes","Yes","Yes"
"IVARM02893","Yes","Yes","Yes","No","No","No"
"NGFNY82607","No","No","No","No","No","No"
"IEVOJ70745","Yes","No","No","No","No","No"
"VUVJN84735","No","No","No","No","No","No"
"DJWTY66939","Yes","Yes","No","No","No","No"
"SNQYZ36554","Yes","Yes","Yes","Yes","Yes","Yes"
"KDHVX28458","Yes","No","Yes","Yes","No","Yes"
"YOCXN50274","Yes","Yes","No","Yes","Yes","Yes"
"XRHCU05671","No","Yes","Yes","Yes","No","No"
"CZJDR58689","Yes","No","No","No","No","No"
"BKEOR42234","No","Yes","Yes","Yes","No","No"
"RIIOM60357","Yes","No","No","Yes","Yes","No"
"VTIDR37974","No","No","No","No","No","No"
"BRGYX25686","No","No","No","No","No","No"
"SEFEE27753","Yes","Yes","No","No","No","Yes"
"SHSBH42915","No","No","No","No","No","No"
"QZXPU52042","No","No","Yes","No","Yes","No"
"ZOUAA33987","No","No","No","No","No","No"
"HNVGJ17681","No","Yes","No","Yes","No","Yes"
"XHYJO38585","No","Yes","Yes","Yes","Yes","No"
"PZTIC48379","No","Yes","Yes","No","No","Yes"
"MADBQ27739","Yes","Yes","Yes","Yes","No","Yes"
"PYKCI10903","Yes","Yes","Yes","No","Yes","Yes"
"HYNYL94798","Yes","No","Yes","Yes","Yes","Yes"
"LCNBW83184","No","Yes","Yes","Yes","Yes","No"
"WDCAF92613","No","No","No","Yes","No","No"
"JOUPP49098","Yes","No","Yes","Yes","Yes","Yes"
"IEYXM19518","Yes","Yes","Yes","Yes","Yes","Yes"
"OJHAL42275","Yes","Yes","Yes","No","Yes","No"
"PBBOA17082","Yes","Yes","Yes","Yes","No","Yes"
"UQXUQ41456","No","No","Yes","Yes","Yes","No"
"XXBXE95184","No","Yes","No","No","No","No"
"IHEZX95587","Yes","Yes","Yes","Yes","Yes","No"
"HABPF17072","Yes","No","Yes","No","Yes","No"
"AVVWI96439","Yes","No","No","No","No","Yes"
"FSHON33981","Yes","No","No","No","Yes","No"
"TWBAS91398","Yes","Yes","Yes","No","Yes","No"
"HYQEW09296","No","Yes","No","No","No","No"
"CRLZF04879","No","No","Yes","Yes","Yes","Yes"
"OKRCT04545","Yes","No","No","No","No","Yes"
"WKKAE23472","No","Yes","Yes","Yes","No","No"
"JOCQO66639","Yes","Yes","No","Yes","No","Yes"
"VQDRP12971","No","No","Yes","Yes","Yes","Yes"
"AADLV48686","Yes","Yes","Yes","Yes","Yes","Yes"
"TZEVA48265","Yes","No","No","No","No","No"
"IIARD40804","Yes","Yes","No","No","Yes","Yes"
"VFMXZ76729","No","Yes","No","No","No","Yes"
"RHLFB99409","No","No","Yes","No","No","No"
"SHLZX91171","No","No","No","No","No","No"
"UVNDW72536","No","No","Yes","No","No","Yes"
"KZQDZ98986","No","No","No","Yes","Yes","No"
"CIZFV85598","Yes","Yes","No","No","Yes","Yes"
"CLAKW25066","Yes","Yes","Yes","Yes","No","Yes"
"TKMZH85919","Yes","Yes","No","Yes","Yes","Yes"
"LMHOK49255","Yes","No","No","No","No","Yes"
"PUYQO49715","No","No","No","Yes","Yes","No"
"CAERR01862","Yes","Yes","Yes","Yes","Yes","Yes"
"HXJMX62331","No","No","Yes","Yes","No","No"
"CHFZW64673","Yes","No","No","Yes","Yes","No"
"BPLZQ81487","Yes","No","No","No","No","No"
"ASKVU05572","No","No","Yes","No","No","Yes"
"OADJP33545","No","Yes","No","No","No","Yes"
"OUUSZ22591","No","No","Yes","No","No","Yes"
"IKATY49192","No","Yes","Yes","No","No","No"
"VUFWD43285","No","No","No","Yes","No","Yes"
"DMLXU22321","No","No","No","No","Yes","No"
"GORXK64473","No","No","No","No","No","No"
"JYQPJ17773","No","No","No","No","No","No"
"GBWJZ66856","Yes","Yes","No","No","Yes","Yes"
"JBZZM39554","No","No","No","No","Yes","No"
"LQXXH51978","Yes","No","Yes","Yes","Yes","Yes"
"JSUWV59933","Yes","Yes","Yes","No","No","No"
"MVUSO22198","No","No","No","No","No","No"
"MOERK31582","No","No","No","Yes","Yes","No"
"KADLU35947","No","Yes","No","No","No","Yes"
"HFYIV83486","No","No","Yes","Yes","Yes","No"
"BAFGU86874","No","No","No","No","No","Yes"
"HAEVO68376","Yes","No","Yes","Yes","Yes","No"
"GMPVK67345","Yes","No","Yes","Yes","Yes","No"
"EZEWG98945","Yes","No","No","No","No","No"
"SVOWZ16706","Yes","No","No","Yes","No","Yes"
"PYOLZ58938","Yes","No","Yes","Yes","Yes","Yes"
"DWOEP33193","No","No","Yes","Yes","Yes","No"
"JDSKI95145","Yes","No","No","No","Yes","No"
"FFVAR74326","No","No","Yes","Yes","No","Yes"
"YPDDQ43297","Yes","Yes","Yes","Yes","Yes","Yes"
"RANUS28607","No","No","No","Yes","No","No"
"JKZNU86964","No","No","No","No","No","No"
"EOBFE48311","No","Yes","No","Yes","Yes","No"
"YLHDV44238","No","Yes","Yes","Yes","Yes","No"
"FIBXJ54495","No","No","Yes","Yes","Yes","Yes"
"DGHXP81449","No","Yes","Yes","Yes","Yes","Yes"
"JRDSO30965","No","Yes","No","Yes","Yes","Yes"
"BRIXZ58621","No","Yes","Yes","Yes","Yes","Yes"
"TMHJU45806","No","No","No","No","Yes","No"
"YVOMK93485","No","No","No","No","No","No"
"FMLZI84176","Yes","No","No","Yes","No","No"
"WEFYX68518","No","No","Yes","Yes","Yes","No"
"YHCMF81814","Yes","No","Yes","Yes","Yes","Yes"
"SEPYI75489","Yes","No","No","Yes","Yes","No"
"IOEGQ03744","No","No","No","No","No","No"
"BXBUB05813","Yes","No","No","No","No","No"
"GVWRF86425","Yes","No","Yes","No","No","No"
"SVLTV29312","Yes","Yes","No","Yes","Yes","Yes"
"SNMJQ51839","No","No","No","Yes","Yes","Yes"
"CKDNC72785","Yes","No","No","No","No","No"
"XNAFQ80248","Yes","Yes","Yes","Yes","No","Yes"
"TBGPH54803","Yes","No","Yes","Yes","Yes","No"
"ABVAD73018","Yes","No","Yes","Yes","Yes","Yes"
"DVQEO46782","No","No","No","No","No","Yes"
"DPEWS94156","No","No","No","No","Yes","Yes"
"FVMZZ37487","No","No","No","Yes","No","Yes"
"BUZGT52818","No","Yes","No","No","Yes","No"
"SESNB58798","No","No","No","No","No","No"
"TQVEV18206","No","No","No","No","No","No"
"CPATH90033","No","No","Yes","No","No","No"
"ASBGA12681","No","No","No","Yes","No","No"
"LHBYW66555","Yes","Yes","Yes","Yes","Yes","Yes"
"LUNBG92271","No","No","No","No","No","No"
"QYZZN05375","No","Yes","No","No","No","No"
"FNWVH87344","No","No","No","Yes","No","No"
"LZKAS83279","No","No","Yes","Yes","Yes","Yes"
"PCPIG41881","Yes","Yes","No","No","Yes","Yes"
"MPARY69063","Yes","No","No","Yes","No","Yes"
"FBCAS35445","Yes","Yes","Yes","Yes","Yes","No"
"RYTVV80346","No","Yes","Yes","No","No","No"
"YXBRO71307","Yes","Yes","Yes","Yes","Yes","No"
"BQCUW11571","No","No","No","No","No","No"
"SZLCH94453","Yes","No","Yes","No","Yes","No"
"UBQIU13996","No","No","Yes","Yes","Yes","No"
"PIGUY49122","No","No","No","No","Yes","No"
"OOEPC13232","Yes","No","No","Yes","Yes","No"
"VTHOE31813","Yes","No","Yes","Yes","No","Yes"
"ONJLV82722","No","No","Yes","Yes","Yes","No"
"GMGDH36478","No","No","Yes","Yes","Yes","No"
"SRDOK13033","No","No","No","No","No","No"
"YPXFS73615","Yes","No","Yes","No","No","Yes"
"NZRUF46599","Yes","Yes","No","Yes","No","No"
"IMLHK95185","Yes","Yes","Yes","No","Yes","Yes"
"LXDEV33743","Yes","No","Yes","No","No","Yes"
"JWTJW11229","No","No","No","No","No","No"
"BWOZN06502","Yes","No","No","No","No","No"
"YFFQO85902","Yes","Yes","Yes","No","No","Yes"
"HWLYB26499","No","Yes","Yes","Yes","No","Yes"
"QBYTO80656","Yes","Yes","No","No","Yes","Yes"
"DZLIZ82594","Yes","No","No","No","No","No"
"CFRNX33483","No","Yes","No","Yes","Yes","No"
"UMPYT82453","No","No","No","Yes","Yes","No"
"DJEQW15554","Yes","Yes","Yes","Yes","Yes","Yes"
"QGYJC77763","No","No","Yes","No","No","Yes"
"SLQPF28283","No","No","No","No","No","No"
"GWYKC31709","No","Yes","Yes","Yes","Yes","Yes"
"RCXUS17106","Yes","No","No","Yes","No","No"
"CXQEU26734","Yes","Yes","Yes","Yes","Yes","No"
"OZURD38384","Yes","No","Yes","Yes","Yes","No"
"ZSRDZ48592","No","No","Yes","Yes","Yes","Yes"
"BKOYE57953","Yes","No","Yes","No","No","Yes"
"MMUTZ28513","Yes","No","No","No","No","Yes"
"ZNQUT97527","Yes","No","No","No","No","No"
"VHWNP13293","No","No","No","No","No","No"
"QGRJH39998","No","No","No","No","No","No"
"BYAVD34664","Yes","No","Yes","Yes","No","Yes"
"FOTSD46726","Yes","Yes","No","No","No","Yes"
"RAGOV88519","Yes","Yes","No","Yes","No","Yes"
"LTHVJ02563","No","No","No","Yes","No","No"
"PNYOX52785","No","No","Yes","Yes","Yes","Yes"
"TVFDZ31322","No","No","No","Yes","Yes","No"
"MYYBN28248","No","No","No","Yes","Yes","No"
"DTDKW42892","Yes","No","No","Yes","Yes","No"
"DINOC00173","No","Yes","No","No","Yes","Yes"
"PLEQY45367","Yes","No","No","Yes","No","No"
"EJMWF64027","No","No","No","Yes","No","No"
"OKRJE14427","Yes","Yes","Yes","Yes","Yes","No"
"QNFQT14592","No","Yes","Yes","Yes","Yes","Yes"
"KNSML69969","No","No","Yes","No","No","No"
"JALAW22397","Yes","No","Yes","Yes","Yes","No"
"ABWRL34524","No","No","No","No","Yes","No"
"ZJYAM92317","No","No","No","No","Yes","No"
"CHRBV71537","No","Yes","Yes","No","No","Yes"
"JMZYP68337","No","No","Yes","Yes","Yes","No"
"CYCYZ56663","No","No","No","Yes","No","Yes"
"LLLFT15439","Yes","No","Yes","No","Yes","Yes"
"NQCBA65813","No","No","No","Yes","Yes","Yes"
"VETUR81526","Yes","No","No","Yes","Yes","No"
"MVYXX97968","No","Yes","Yes","No","No","Yes"
"JTCCU28427","No","No","No","No","No","No"
"ITUDF05955","Yes","Yes","Yes","No","No","No"
"BXGES82262","Yes","Yes","Yes","No","No","No"
"HAWSU30902","No","Yes","Yes","Yes","Yes","Yes"
"XGEQU11365","Yes","No","Yes","Yes","Yes","Yes"
"FZUGP67325","No","Yes","Yes","No","Yes","No"
"URHDA34016","No","Yes","No","No","No","Yes"
"TRTPY03655","Yes","Yes","Yes","No","No","No"
"DLAMQ46541","Yes","Yes","Yes","Yes","No","No"
"GEOOQ88472","Yes","No","Yes","Yes","Yes","Yes"
"IOTLZ67278","Yes","No","Yes","Yes","Yes","Yes"
"HVYXR69608","No","No","No","No","No","No"
"NHQXU03787","No","No","Yes","No","Yes","No"
"JUPYD05651","Yes","Yes","Yes","No","Yes","Yes"
"ZTEGJ76635","Yes","No","Yes","Yes","No","Yes"
"PTHGN14022","Yes","Yes","No","No","No","Yes"
"DYEPJ76578","Yes","No","Yes","No","Yes","Yes"
"DUVFC01007","Yes","No","Yes","Yes","Yes","No"
"TGDHM20264","No","No","No","Yes","No","No"
"HFUCW10421","Yes","No","No","No","No","Yes"
"GNOLC11531","Yes","No","No","No","Yes","No"
"WNXXC05763","Yes","No","Yes","Yes","No","No"
"ANDWJ69069","No","No","No","No","No","No"
"WQUHX71236","No","No","Yes","No","Yes","Yes"
"TYBCJ58575","No","No","Yes","No","Yes","No"
"CCKOU91702","Yes","Yes","Yes","No","No","No"
"VWVDO14753","No","No","Yes","No","No","No"
"DGVUU71082","Yes","No","Yes","Yes","No","No"
"QVMSK25331","Yes","No","No","No","Yes","Yes"
"POGZN73395","No","No","No","No","No","No"
"YLDFR68486","Yes","No","No","Yes","Yes","Yes"
"LSJGD28985","No","Yes","Yes","Yes","Yes","No"
"SFODM53733","No","No","No","Yes","No","No"
"UDMTP77337","Yes","No","Yes","Yes","Yes","No"
"NISEI28013","No","Yes","No","No","No","Yes"
"MYPGO43781","Yes","Yes","Yes","Yes","Yes","No"
"KPTWJ01299","No","No","Yes","Yes","Yes","No"
"AIVNJ03738","Yes","Yes","Yes","No","No","No"
"OOEEL84148","Yes","No","Yes","Yes","Yes","Yes"
"QVFKM85416","No","No","No","No","No","No"
"XIQBR29311","No","No","Yes","Yes","Yes","Yes"
"MSDEY56525","No","No","No","No","No","No"
"CWXVV25869","Yes","No","No","No","No","No"
"INTPH80582","No","No","No","No","Yes","No"
"NYLMZ27984","No","Yes","Yes","Yes","Yes","Yes"
"TKATG08801","No","No","Yes","Yes","Yes","No"
"VNIMQ93429","Yes","No","No","No","No","No"
"LGOVN77797","No","No","No","Yes","No","No"
"CKRLV21923","Yes","Yes","Yes","Yes","No","No"
"CRQXP82127","No","No","No","No","Yes","No"
"JWMPU30096","No","No","Yes","Yes","Yes","No"
"IIHUG06236","No","Yes","No","No","Yes","No"
"IVXVF26328","No","Yes","Yes","Yes","Yes","Yes"
"RBDUG06557","No","No","Yes","Yes","Yes","No"
"TJHTS18679","No","Yes","No","No","No","No"
"KWYKW00277","No","No","No","No","Yes","No"
"CRHKQ56515","Yes","No","Yes","No","No","Yes"
"DWPAZ13713","Yes","Yes","Yes","No","Yes","Yes"
